"=(","eqeyesfrown","","negative","emoticon","=("
"=/","eqeyesslant","","negative","emoticon","=/"
":(","frown","","negative","emoticon",":("
":’(","frownapos","","negative","emoticon",":’("
":-(","frownnose","","negative","emoticon",":-("
":/","slant","","negative","emoticon",":/"
":-/","slantnose","","negative","emoticon",":-/"
":D","bigsmile","","positive","emoticon",":D"
":-D","bigsmilenose","","positive","emoticon",":-D"
":))","doublesmile","","positive","emoticon",":))"
"=D","eqeyesbigsmile","","positive","emoticon","=D"
"=]","eqeyesbrac","","positive","emoticon","=]"
"=)","eqeyessmile","","positive","emoticon","=)"
"(:","rsmile","","positive","emoticon","(:"
":)","smile","","positive","emoticon",":)"
":’)","smileapos","","positive","emoticon",":’)"
":]","smilebrac","","positive","emoticon",":]"
":-)","smilenose","","positive","emoticon",":-)"
"=P","eqeyestongue","","relation","emoticon","=P"
":P","tongue","","relation","emoticon",":P"
":-P","tonguenose","","relation","emoticon",":-P"
"D:","dworry","",","emoticon","D:"
":O","omouth","","surprise","emoticon",":O"
";P","winktongue","","relation","emoticon",";P"
"XD","xeyesbigsmile","",","emoticon","XD"
";)","wink","","relation","emoticon",";)"
";D","winkbigsmile","","positive","emoticon",";D"
";-)","winknose","","relation","emoticon",";-)"
"ouf","ouf","","positive","interjection","ouf"
"lol","lol","","positive","lol"
"!!","exc2","","surprise","punctuation","!!"
"!!!!!","exc5","","surprise","","!!!!!"	
